,MAE,RMSE,Model,Dataset
0,5.308534324548268,7.982813351934051,Elastic Net,Alcohol
1,18.52613409884371,20.49355174027907,Elastic Net,Alcohol
2,14.928487237378121,17.99480742359362,Elastic Net,Alcohol
3,6.449362313223935,11.448842389741822,Elastic Net,Alcohol
4,8.321065849518002,10.343115427305758,Elastic Net,Alcohol
5,11.762479227069763,14.493937696008212,Elastic Net,Alcohol
6,12.901008553875503,18.892216718969205,Elastic Net,Alcohol
7,7.794877177416734,10.43846379864653,Elastic Net,Alcohol
8,10.261824518416766,12.187576715883566,Elastic Net,Alcohol
9,4.34500425661555,6.753140834471105,Elastic Net,Alcohol
10,24.55127329734129,28.554031661329745,Elastic Net,Alcohol
11,5.759084774240122,7.719424775843018,Elastic Net,Alcohol
12,5.383972938396798,7.4580830533389415,Elastic Net,Alcohol
13,10.740120145122491,15.838653137470834,Elastic Net,Alcohol
14,15.5271058742624,24.61831246156048,Elastic Net,Alcohol
15,19.045725953318914,22.793867335919725,Elastic Net,Alcohol
16,7.473060129108887,9.168144907964418,Elastic Net,Alcohol
17,3.6206144897585584,4.805435398195553,Elastic Net,Alcohol
18,12.108423512325079,14.897767129335252,Elastic Net,Alcohol
19,7.4435011189422475,9.20792061717631,Elastic Net,Alcohol
20,7.896373060300722,11.53015307355298,Elastic Net,Alcohol
21,12.537237938862027,17.726431834014225,Elastic Net,Alcohol
22,6.392934759367803,11.52520591427592,Elastic Net,Alcohol
23,16.426173559993003,21.911530842406208,Elastic Net,Alcohol
24,3.9710059804097932,6.3019545580826,Elastic Net,Alcohol
25,13.580169707768743,17.862425657695983,Elastic Net,Alcohol
26,8.73102187162161,11.500943318130208,Elastic Net,Alcohol
27,17.311645500802012,22.600564031437,Elastic Net,Alcohol
28,6.3523293499998985,9.099802793876846,SVM,Alcohol
29,17.613678360135605,20.15543495107977,SVM,Alcohol
30,14.431056481625312,17.815050448450833,SVM,Alcohol
31,6.535131579411667,12.072453518591034,SVM,Alcohol
32,8.837963370741694,10.878572260183535,SVM,Alcohol
33,11.546828236430969,14.712977656588476,SVM,Alcohol
34,11.254404654090923,17.970245198357013,SVM,Alcohol
35,7.741852226613265,10.597960441806018,SVM,Alcohol
36,10.58883042791254,12.893748376989246,SVM,Alcohol
37,5.003201694775418,8.043259187490083,SVM,Alcohol
38,23.456409115169567,28.31563363968463,SVM,Alcohol
39,4.655388333638928,6.947993265389406,SVM,Alcohol
40,6.273652613338291,8.19182460103087,SVM,Alcohol
41,11.020926481567633,16.435165999566493,SVM,Alcohol
42,13.957218783212806,23.98861863325776,SVM,Alcohol
43,19.162938396395067,23.19203208418326,SVM,Alcohol
44,8.084002564520272,9.63066595520864,SVM,Alcohol
45,3.119042886836109,4.950389280269648,SVM,Alcohol
46,12.012170721950792,15.338265101171505,SVM,Alcohol
47,7.908452431232534,9.868438098034781,SVM,Alcohol
48,7.683219721853305,11.753902810917136,SVM,Alcohol
49,12.645343380401213,17.538368490154653,SVM,Alcohol
50,6.31010645504976,11.3984264764177,SVM,Alcohol
51,15.159684405359304,21.08217332616759,SVM,Alcohol
52,5.272160927915641,7.905331319927378,SVM,Alcohol
53,12.88047272572937,17.456968907641073,SVM,Alcohol
54,9.35102085171488,12.184302538762239,SVM,Alcohol
55,16.49577179251932,22.706780058658428,SVM,Alcohol
56,3.6006412830229477,4.794906953318461,XGBoost,Alcohol
57,18.71450151552613,20.925269412691573,XGBoost,Alcohol
58,15.40433250837517,18.737409395572204,XGBoost,Alcohol
59,5.2063162129475815,10.45588592015382,XGBoost,Alcohol
60,9.420842699845025,11.215797791478673,XGBoost,Alcohol
61,11.514167302711444,14.156652698366528,XGBoost,Alcohol
62,12.661277753586045,20.390086220885987,XGBoost,Alcohol
63,8.425703673145374,12.252082818907573,XGBoost,Alcohol
64,11.344253407363707,13.115832970857456,XGBoost,Alcohol
65,2.526252825786246,4.0704873341384795,XGBoost,Alcohol
66,24.44165038156421,29.449357896795068,XGBoost,Alcohol
67,5.957012583440698,8.459297341744167,XGBoost,Alcohol
68,2.5390926566542933,3.481172475885874,XGBoost,Alcohol
69,11.442743627311648,15.996747469687984,XGBoost,Alcohol
70,15.634037939826095,24.609221226448486,XGBoost,Alcohol
71,19.22567540480102,23.30424353257864,XGBoost,Alcohol
72,7.074759125486564,8.448271714773192,XGBoost,Alcohol
73,4.012866502553885,5.470646269034194,XGBoost,Alcohol
74,11.67219475845335,14.475527668522778,XGBoost,Alcohol
75,7.047036405101417,9.149026322593956,XGBoost,Alcohol
76,8.765024408687331,12.31574686136217,XGBoost,Alcohol
77,13.345823932647232,17.628420229967894,XGBoost,Alcohol
78,4.338179689228709,10.002502420789163,XGBoost,Alcohol
79,15.606168237281963,21.040240543178335,XGBoost,Alcohol
80,1.9092366787415735,4.443272706710174,XGBoost,Alcohol
81,13.45665265634801,17.98646387625555,XGBoost,Alcohol
82,8.120946255953688,11.148419201627803,XGBoost,Alcohol
83,16.94093359090719,21.88726193636484,XGBoost,Alcohol
84,3.736911852321053,4.976175062258577,RF,Alcohol
85,17.82281791553816,20.095374865846676,RF,Alcohol
86,14.866919107508496,18.401135544137915,RF,Alcohol
87,5.161061685556565,10.34188129704512,RF,Alcohol
88,9.347361779703538,11.094791561431297,RF,Alcohol
89,11.506128553258124,13.979989254730716,RF,Alcohol
90,13.325153233248253,19.923362836948964,RF,Alcohol
91,8.448649740923829,11.52296876253337,RF,Alcohol
92,10.60412600801938,12.7629096908505,RF,Alcohol
93,3.1052228462409652,4.698437240357426,RF,Alcohol
