,MAE,RMSE,Model,Dataset,Type
89,11.066453524607722,14.159150009079816,RF,Alcohol,Idiographic
90,15.430671455627708,21.74328446935748,RF,Alcohol,Idiographic
91,8.074680851063832,12.010040509908592,RF,Alcohol,Idiographic
92,10.43274264869626,13.45155328939902,RF,Alcohol,Idiographic
93,2.982692307692309,5.523566962907263,RF,Alcohol,Idiographic
94,24.94749679094933,29.94819873998901,RF,Alcohol,Idiographic
95,6.682713402209802,8.707593489284386,RF,Alcohol,Idiographic
96,1.978161635606392,2.5269981472014718,RF,Alcohol,Idiographic
97,14.279948584567643,18.393580349543758,RF,Alcohol,Idiographic
98,16.25020396825397,27.80066933868986,RF,Alcohol,Idiographic
99,18.587889809898467,23.63907522400763,RF,Alcohol,Idiographic
100,7.371967250755499,9.118442126745636,RF,Alcohol,Idiographic
101,3.2311111111111117,6.476803052261028,RF,Alcohol,Idiographic
102,10.275031862547392,13.300983130478588,RF,Alcohol,Idiographic
103,7.029494473758429,8.927210625999106,RF,Alcohol,Idiographic
104,8.687295750574593,12.040806839832634,RF,Alcohol,Idiographic
105,12.71581836897608,19.375888045398348,RF,Alcohol,Idiographic
106,5.071260162601625,10.323312596397752,RF,Alcohol,Idiographic
107,15.7603125,20.08461343603605,RF,Alcohol,Idiographic
108,1.099622641509434,3.824232565755007,RF,Alcohol,Idiographic
109,15.61673714601457,21.517557978709963,RF,Alcohol,Idiographic
110,8.087087187666134,12.753875553287433,RF,Alcohol,Idiographic
111,19.088421052631585,22.90482275118404,RF,Alcohol,Idiographic
112,3.4679063656555664,4.697460236079735,3-Layer LSTM,Alcohol,Idiographic
113,19.93518423391786,23.28837283871459,3-Layer LSTM,Alcohol,Idiographic
114,16.471963661556423,19.88012359737995,3-Layer LSTM,Alcohol,Idiographic
115,4.5935530032179095,10.152176019018269,3-Layer LSTM,Alcohol,Idiographic
116,12.113575938599906,15.091441553912889,3-Layer LSTM,Alcohol,Idiographic
117,12.493517799068329,16.365129685819703,3-Layer LSTM,Alcohol,Idiographic
118,13.584972168045216,23.829597971619368,3-Layer LSTM,Alcohol,Idiographic
119,9.089707710289291,15.042631933542966,3-Layer LSTM,Alcohol,Idiographic
120,11.62899464306923,14.651437995332053,3-Layer LSTM,Alcohol,Idiographic
121,1.839750231840627,4.57812539117313,3-Layer LSTM,Alcohol,Idiographic
122,23.89153707896813,27.717575396281976,3-Layer LSTM,Alcohol,Idiographic
123,6.877056192640972,11.90755676638137,3-Layer LSTM,Alcohol,Idiographic
124,1.8873071872214056,2.6046398710076053,3-Layer LSTM,Alcohol,Idiographic
125,8.232937284406264,16.189163678562174,3-Layer LSTM,Alcohol,Idiographic
126,14.369673548447036,29.465954876116516,3-Layer LSTM,Alcohol,Idiographic
127,19.176135284089032,24.215990672956927,3-Layer LSTM,Alcohol,Idiographic
128,7.540600158744279,9.041862502609396,3-Layer LSTM,Alcohol,Idiographic
129,2.901634560995111,7.1784519670710285,3-Layer LSTM,Alcohol,Idiographic
130,12.96099147109179,17.05917522619588,3-Layer LSTM,Alcohol,Idiographic
131,6.4733526904560375,10.191963281489448,3-Layer LSTM,Alcohol,Idiographic
132,7.744034756508278,14.198581441349694,3-Layer LSTM,Alcohol,Idiographic
133,14.62337253491679,21.121727607899007,3-Layer LSTM,Alcohol,Idiographic
134,3.0295923309883617,9.880474850816524,3-Layer LSTM,Alcohol,Idiographic
135,16.356393605470657,23.120124992016397,3-Layer LSTM,Alcohol,Idiographic
136,1.0565960382176909,4.640983981352391,3-Layer LSTM,Alcohol,Idiographic
137,15.083164858911395,23.2710856761452,3-Layer LSTM,Alcohol,Idiographic
138,7.998914499816141,13.429350924964696,3-Layer LSTM,Alcohol,Idiographic
139,15.823266619776826,22.18019648422619,3-Layer LSTM,Alcohol,Idiographic
140,3.721416963533868,5.029427501729967,1-Layer LSTM,Alcohol,Idiographic
141,19.16057777788828,23.232480646761086,1-Layer LSTM,Alcohol,Idiographic
142,17.053216551487623,20.193840688925143,1-Layer LSTM,Alcohol,Idiographic
143,4.563894138522148,10.255816491367652,1-Layer LSTM,Alcohol,Idiographic
144,12.073934021848045,15.432281032305216,1-Layer LSTM,Alcohol,Idiographic
145,13.41714866438558,18.114066705243328,1-Layer LSTM,Alcohol,Idiographic
146,14.105683036491126,24.740037588215586,1-Layer LSTM,Alcohol,Idiographic
147,9.655568795423768,15.635084843637694,1-Layer LSTM,Alcohol,Idiographic
148,12.2475759684581,15.788312704942213,1-Layer LSTM,Alcohol,Idiographic
149,2.1938680629783742,4.91783847712881,1-Layer LSTM,Alcohol,Idiographic
150,23.82487512078124,28.479920150294912,1-Layer LSTM,Alcohol,Idiographic
151,6.82568121146971,12.359875692187192,1-Layer LSTM,Alcohol,Idiographic
152,1.7993482772162923,2.50416461550051,1-Layer LSTM,Alcohol,Idiographic
153,8.221911954825861,15.88559342107312,1-Layer LSTM,Alcohol,Idiographic
154,14.71801056097641,29.752493920259607,1-Layer LSTM,Alcohol,Idiographic
155,20.831004930557093,25.886563369047145,1-Layer LSTM,Alcohol,Idiographic
156,7.437168302762097,8.82864139191137,1-Layer LSTM,Alcohol,Idiographic
157,3.699580061612344,7.620020230131802,1-Layer LSTM,Alcohol,Idiographic
158,14.368602717233555,19.307791946919824,1-Layer LSTM,Alcohol,Idiographic
